path	disposition
.agents/notes/AGENTS.md	in-source-manifest
.agents/notes/archived/AGENTS.md	in-source-manifest
.agents/notes/archived/architecture/2026-06-11-tool-schemas-in-prompt-assembly.i18n.yaml	excluded-historical-note
.agents/notes/archived/architecture/2026-06-11-tool-schemas-in-prompt-assembly.md	excluded-historical-note
.agents/notes/archived/architecture/2026-06-11-tool-schemas-in-prompt-assembly.zh.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-21-dsh-system-prompt-source-path.i18n.yaml	excluded-historical-note
.agents/notes/archived/feature/2026-07-21-dsh-system-prompt-source-path.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-21-dsh-system-prompt-source-path.zh.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-23-tui-status-prompt-tools.i18n.yaml	excluded-historical-note
.agents/notes/archived/feature/2026-07-23-tui-status-prompt-tools.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-23-tui-status-prompt-tools.zh.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-24-configurable-tui-prompt-theme.i18n.yaml	excluded-historical-note
.agents/notes/archived/feature/2026-07-24-configurable-tui-prompt-theme.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-24-configurable-tui-prompt-theme.zh.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-24-tui-shell-prompt-editor.i18n.yaml	excluded-historical-note
.agents/notes/archived/feature/2026-07-24-tui-shell-prompt-editor.md	excluded-historical-note
.agents/notes/archived/feature/2026-07-24-tui-shell-prompt-editor.zh.md	excluded-historical-note
.agents/notes/implemented/AGENTS.md	in-source-manifest
.agents/notes/implemented/CLAUDE.md	in-source-manifest
.agents/notes/implemented/architecture/2026-07-05-prompt-variables-and-tool-guidance-ownership.i18n.yaml	excluded-historical-note
.agents/notes/implemented/architecture/2026-07-05-prompt-variables-and-tool-guidance-ownership.md	excluded-historical-note
.agents/notes/implemented/architecture/2026-07-05-prompt-variables-and-tool-guidance-ownership.zh.md	excluded-historical-note
.agents/notes/implemented/bug-fix/2026-08-15-persistent-bash-keeps-controlled-prompt.i18n.yaml	excluded-historical-note
.agents/notes/implemented/bug-fix/2026-08-15-persistent-bash-keeps-controlled-prompt.md	excluded-historical-note
.agents/notes/implemented/bug-fix/2026-08-15-persistent-bash-keeps-controlled-prompt.zh.md	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-follow-instruction-symlinks.i18n.yaml	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-follow-instruction-symlinks.md	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-follow-instruction-symlinks.zh.md	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-instruction-load-all-dedup.i18n.yaml	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-instruction-load-all-dedup.md	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-instruction-load-all-dedup.zh.md	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-local-instruction-overlay.i18n.yaml	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-local-instruction-overlay.md	excluded-historical-note
.agents/notes/implemented/feature/2026-07-21-local-instruction-overlay.zh.md	excluded-historical-note
.agents/notes/implemented/process/2026-07-23-translation-prompt-v4-contract.i18n.yaml	excluded-historical-note
.agents/notes/implemented/process/2026-07-23-translation-prompt-v4-contract.md	excluded-historical-note
